q2,q3,s1,s2,s3,q6,q8,q10,q12,p
6,5,1,13,100,13,1,6,8,4
3,6,99,100,100,14,4,2,2,7
6,15,100,100,21,17,4,8,7,5
4,8,1,100,100,1,9,1,3,19
1,6,1,13,100,6,16,15,5,17
1,6,99,100,100,17,5,9,1,2
4,12,100,13,100,1,4,1,9,13
4,3,99,100,100,15,10,13,6,6
4,3,3,13,100,15,9,13,3,4
4,12,100,13,100,15,13,1,3,1
10,3,2,100,100,17,8,13,3,19
4,2,100,15,100,13,13,6,10,1
1,4,1,13,100,13,4,5,10,1
4,5,4,100,100,2,11,13,6,6
9,16,99,100,100,10,9,2,9,12
3,18,99,100,100,9,15,5,6,18
6,5,1,100,100,17,13,14,11,9
1,6,100,11,100,6,2,1,5,8
10,6,100,100,23,15,11,13,2,5
4,6,2,100,100,15,11,13,6,6
1,6,100,13,21,17,4,13,10,12
1,5,7,100,100,17,13,13,4,18
2,4,100,13,100,7,2,6,8,12
4,1,99,100,100,1,5,10,6,7
2,5,1,100,100,19,9,13,11,6
4,1,2,13,100,13,4,15,13,18
5,9,1,100,100,3,10,13,4,1
4,1,7,100,23,11,4,8,11,14
1,12,1,100,100,17,12,14,5,1
10,6,1,100,100,15,16,8,3,17
1,12,1,100,100,19,6,8,11,17
3,11,1,100,100,14,17,4,12,11
4,5,1,13,100,19,8,13,5,13
8,9,100,12,100,15,11,8,3,13
1,6,99,100,100,16,9,1,3,13
1,6,99,100,100,13,1,1,6,4
9,3,100,16,100,17,9,2,3,17
6,6,99,100,100,6,16,1,6,18
1,6,100,13,100,13,13,14,6,13
9,6,100,12,100,6,19,14,6,13
4,6,1,16,100,6,12,13,5,17
1,6,1,13,100,13,13,14,10,9
1,18,99,100,100,8,11,8,3,3
8,6,100,13,100,17,11,1,5,14
2,6,100,12,100,6,9,14,6,6
4,3,100,13,100,17,13,13,5,6
4,12,100,16,100,17,18,14,3,17
10,12,2,11,100,15,10,5,5,14
1,6,3,100,100,17,4,14,6,6
2,15,6,100,100,13,4,13,6,7
10,5,6,13,100,6,16,13,3,9
1,4,7,15,100,6,13,5,4,18
9,4,3,100,100,15,16,3,2,14
8,6,100,100,23,13,8,1,3,5
1,6,99,100,100,17,11,1,5,9
4,5,1,100,100,15,9,1,6,1
2,5,99,100,100,6,8,13,4,19
10,12,99,100,100,19,4,14,5,4
4,19,100,13,100,1,13,8,3,6
2,3,1,100,100,6,13,13,5,10
3,12,100,100,100,1,6,11,4,5
9,18,100,100,21,11,6,6,7,8
4,19,99,100,100,15,13,1,5,13
9,5,7,100,100,17,13,13,7,5
5,19,99,100,100,1,13,1,5,8
3,1,7,100,100,11,13,13,3,1
10,3,1,100,100,15,9,13,9,6
1,6,6,13,100,6,9,1,11,13
3,12,100,13,100,17,9,13,3,4
3,12,99,100,100,14,13,2,3,14
4,19,99,100,100,4,3,1,8,3
2,6,1,100,23,1,6,8,7,4
6,5,3,100,100,1,11,1,3,18
1,17,7,100,100,7,1,5,10,5
3,12,2,13,100,19,13,13,10,8
4,3,100,13,22,1,13,13,7,2
1,6,3,100,100,4,11,1,5,5
6,6,1,100,100,1,9,13,4,14
4,19,100,100,100,19,12,1,9,2
1,3,99,100,100,15,5,1,3,5
1,15,1,100,22,18,2,6,7,4
1,6,100,11,100,6,17,12,10,9
3,6,99,100,100,1,12,13,5,2
4,6,6,100,100,11,7,3,11,3
9,6,2,100,100,13,13,1,3,13
1,6,6,100,100,13,11,13,6,2
1,4,99,100,100,3,7,10,2,13
8,9,1,100,23,6,13,13,3,6
1,17,99,100,100,13,8,8,3,6
4,16,4,100,100,13,9,6,2,5
10,5,100,100,21,17,16,10,3,5
1,19,99,100,100,1,1,7,3,9
1,12,1,100,23,15,10,14,10,2
4,19,2,100,21,3,7,9,7,17
5,6,1,100,23,8,1,14,6,5
8,19,99,100,100,17,4,13,10,7
1,6,99,100,100,13,13,1,3,17
3,13,9,100,100,15,11,14,6,6
6,9,100,13,100,1,13,14,6,19
5,4,3,100,100,4,7,9,11,1
9,5,99,100,100,17,13,8,3,5
4,6,6,100,100,7,5,1,3,10
9,6,100,13,100,15,11,10,10,8
9,4,1,100,100,17,4,14,11,3
4,19,7,100,23,17,9,13,5,19
8,13,1,14,100,16,2,3,8,11
2,11,100,13,100,13,14,5,9,3
4,6,100,11,100,6,17,9,1,17
2,3,2,100,100,15,19,13,6,6
3,2,7,100,100,18,7,12,11,11
1,4,100,13,100,8,4,7,10,17
1,6,2,13,100,6,17,13,6,8
9,4,5,100,100,17,4,7,9,8
2,4,100,100,100,12,14,5,1,6
1,6,6,100,100,15,11,1,5,14
1,6,99,100,100,6,5,13,3,5
3,13,1,100,100,13,4,10,3,5
4,8,1,100,100,19,1,14,12,3
1,17,99,100,100,17,7,7,1,10
1,3,1,100,100,19,6,14,5,3
2,6,4,100,100,2,7,3,11,1
3,9,1,100,100,4,13,4,1,13
10,5,1,100,100,19,13,13,9,2
2,5,100,16,100,6,4,13,5,5
1,6,99,100,100,4,13,1,6,8
4,9,1,100,100,3,10,13,4,1
4,9,100,16,100,1,9,2,5,17
1,6,100,14,100,13,4,6,5,13
2,3,1,100,100,4,11,13,6,7
1,4,100,15,100,1,13,8,6,1
4,9,100,11,100,17,4,15,11,1
3,19,99,100,100,3,13,14,6,6
1,6,100,100,100,6,4,7,6,4
4,9,99,100,100,14,9,1,7,18
6,3,100,11,100,15,8,13,11,3
1,6,1,100,100,13,4,3,10,13
4,6,100,13,100,1,11,6,5,17
4,9,99,100,100,1,13,1,5,2
1,2,1,100,100,15,17,1,2,9
4,15,99,100,100,17,9,1,7,17
1,19,100,100,23,5,13,13,11,1
4,6,7,100,100,4,13,6,6,13
1,2,99,100,100,19,9,2,5,14
8,3,3,100,100,15,13,13,5,17
2,5,7,100,100,6,15,12,5,5
4,5,100,13,100,19,12,8,5,13
2,4,99,100,100,19,9,2,3,19
1,6,6,100,100,13,5,10,9,2
1,8,1,100,100,6,4,1,5,13
1,6,3,100,100,19,13,1,10,5
1,6,6,100,100,13,10,14,10,7
2,19,2,16,100,17,4,3,6,5
1,6,100,13,100,17,13,13,5,8
3,5,99,100,100,15,11,2,5,13
2,5,99,100,100,4,11,13,5,2
4,5,1,100,100,1,15,1,5,9
1,6,1,100,100,13,16,13,3,17
6,8,1,100,100,15,13,2,12,10
